,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
379,I hate the smell of cigarettes.. 😠,0,7,7,4.0,34,0,0,0,3,2,,i hate the smell of cigarettes 😠
380,You won't reach a #goal you hide in a drawer. Keep it in front of your face at all times.  #WednesdayWisdom,2,21,19,4.1,107,0,1,0,12,5,,you wont reach a goal you hide in a drawer keep it in front of your face at all times  wednesdaywisdom
381,"And now that Im having the other way around, i feel so upset and sad",3,15,15,3.6,68,0,0,0,8,1,other i upset sad,and now that im having the other way around i feel so upset and sad
382,I need a beer #irritated,0,5,5,4.0,24,0,1,0,2,1,,i need a beer irritated
383,I cry whenever they call me mico chan 😭,3,9,9,3.44,39,0,0,0,3,0,mico,i cry whenever they call me mico chan 😭
384,"yikes got my first job interview next week, haven't had one in years",1,13,13,4.31,68,0,0,0,4,2,first next,yikes got my first job interview next week havent had one in years
385,Time to get my dreads back I miss them 😩😩 #dread head #girlswithdreads,3,13,13,4.46,70,0,1,0,5,2,😩😩 dread,time to get my dreads back i miss them 😩😩 dread head girlswithdreads
386,"@user It's a bit sad really. You'd think that he/she/it had something better to do, wouldn't you?",3,17,17,4.76,97,0,0,1,7,9,sad, its a bit sad really youd think that hesheit had something better to do wouldnt you
387,@user haha Use separate sheet if necessary 😆,1,8,8,4.62,44,0,0,1,1,1,separate necessary, haha use separate sheet if necessary 😆
388,@user @user Don't insult donkeys,0,5,4,5.6,32,0,0,1,1,3,,  dont insult donkeys
389,"You can be discouraged by failure or you can learn from it. -- Thomas J. Watson,#motivationalquote,#success",2,16,15,5.75,107,0,1,0,8,8,,you can be discouraged by failure or you can learn from it  thomas j watsonmotivationalquotesuccess
390,@user Unbelievable #arrogance to think you know better than #StephenHawking .,0,11,11,6.09,77,0,1,1,3,4,Unbelievable, unbelievable arrogance to think you know better than stephenhawking 
391,I want a whole show of @user just reading emojis. #adorable #inners,1,12,12,4.67,67,0,1,1,4,4,whole adorable,i want a whole show of  just reading emojis adorable inners
392,Attention seeker Chris Uhlmann highly aroused over the attention he drew to himself now enjoying some fists of fury time @user @user,1,22,21,5.05,132,0,0,1,7,2,,attention seeker chris uhlmann highly aroused over the attention he drew to himself now enjoying some fists of fury time  
393,@user @user @user they need time to grieve.,3,8,6,4.5,43,0,0,1,2,4,,   they need time to grieve
394,New Lyft User? Use code to get credit: INVITES #Hey coupon clippers! #cheery #LyftNOW,1,14,14,5.14,85,0,1,0,2,6,INVITES cheery,new lyft user use code to get credit invites hey coupon clippers cheery lyftnow
395,﻿Mummy came home and ordered pizza even though there's food in the fridge. I ain't fighting the hypocrisy this time #jalepenos #pine #chicken,1,23,22,5.17,141,0,1,0,7,6,pine,﻿mummy came home and ordered pizza even though theres food in the fridge i aint fighting the hypocrisy this time jalepenos pine chicken
396,@user Don Jr lawyered up with the wrong folk. He aint so bright.,3,13,13,4.0,64,0,0,1,5,3,wrong bright, don jr lawyered up with the wrong folk he aint so bright
397,What can you say about @user #awestruck.....,1,7,7,5.43,44,0,1,1,4,7,,what can you say about  awestruck
398,Day 1 tom 😱,1,4,4,2.0,11,0,0,0,0,0,,day  tom 😱
399,I can feel my skull shatter from the dull chatter\nBrain spattered on the wall\nGrey stains won't dissolve\nNow I have to paint it all,3,23,21,4.87,134,0,0,0,13,1,skull,i can feel my skull shatter from the dull chatternbrain spattered on the wallngrey stains wont dissolvennow i have to paint it all
400,@user Yeah I'd terminate your contract. I had a similar problem in last place where I was told I should have 'business broadband' 😠,0,24,22,4.5,131,0,0,1,12,5,similar last, yeah id terminate your contract i had a similar problem in last place where i was told i should have business broadband 😠
401,"#Impeach\nJust a reminder - we have a bratty, infantile, insecure man running the country &amp; congress is allowing him to throw his tantrums.",0,23,22,5.26,143,0,1,0,9,7,,impeachnjust a reminder  we have a bratty infantile insecure man running the country amp congress is allowing him to throw his tantrums
402,@user is such an #ass. He thinks being #president is his stage to get #attention. He's like a baby throwing a #tantrum,0,22,20,4.41,118,0,1,1,13,8,@ such, is such an ass he thinks being president is his stage to get attention hes like a baby throwing a tantrum
403,Alien Newborn - Alien: Resurrection (Sideshow Collectibles) - This thing really was an abomination! #horror #aliens #figures,0,17,16,6.35,124,0,1,0,3,9,,alien newborn  alien resurrection sideshow collectibles  this thing really was an abomination horror aliens figures
404,#good to learning #wisdom &lt;&lt; reform (v): make in order to improve something &gt;&gt;,2,14,13,5.5,90,0,1,0,3,13,good,good to learning wisdom ltlt reform v make in order to improve something gtgt
405,Having a 280 day snap streak end is heartbreaking,3,9,9,4.56,49,0,0,0,3,0,streak,having a  day snap streak end is heartbreaking
406,I am trying to get through to the #RAC because I've had a car collision..been waiting in a queue for 16 minutes #shocking,0,23,21,4.3,121,0,1,0,14,5,,i am trying to get through to the rac because ive had a car collisionbeen waiting in a queue for  minutes shocking
407,Going to #BigApple tomorrow! Loving #NJTransit #commute! Wearing #khakis #whiteshirt #maybeblue #brownshoes #macys #joy #jealousyet?\n#usa,1,15,15,8.27,138,0,1,0,1,14,khakis maybeblue \n usa,going to bigapple tomorrow loving njtransit commute wearing khakis whiteshirt maybeblue brownshoes macys joy jealousyetnusa
408,@user Yea I'm going to go back when I get off work because that's ridiculous 😭 I'm super pissed,0,19,18,4.05,95,0,0,1,9,4,ridiculous super, yea im going to go back when i get off work because thats ridiculous 😭 im super pissed
409,"no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country's-",2,29,25,3.66,134,0,0,0,17,5,k bbs own,no offense to those who love k culture u can love it all you want bbs 💖 but i just personally want to get to know my own countrys
410,There's nothing more #depressing to me than thinking about how many times I will shave my legs in my lifetime. #showerthoughts #writer,3,22,21,5.14,134,0,1,0,11,5,many,theres nothing more depressing to me than thinking about how many times i will shave my legs in my lifetime showerthoughts writer
411,"@user Most pathetic after service experience for Baleno servicing, #horrible Feel i have made a mistake buying",0,17,17,5.53,110,0,1,1,6,3,pathetic horrible, most pathetic after service experience for baleno servicing horrible feel i have made a mistake buying
412,Strapless wedding dresses look awful on most people. \nJulianne Hough looked great 👌🏼,1,13,13,5.62,85,0,0,0,2,1,awful great,strapless wedding dresses look awful on most people njulianne hough looked great 👌🏼
413,Lady singing really loudly with headphones on making everyone giggle @user #train #journey #smile,1,14,14,6.0,97,0,1,1,2,4,Lady,lady singing really loudly with headphones on making everyone giggle  train journey smile
414,He is very playful and can hardly stay in one spot.,1,11,11,3.73,51,0,0,0,6,1,playful,he is very playful and can hardly stay in one spot
415,"Carlsbad #Rouladen is one #delicious, hearty, home-style dish! Stop by and let us know how you like it! #getdtl #ldnont #chaucers #marienbad",1,22,22,5.41,140,0,1,0,6,11,delicious hearty home-style getdtl ldnont,carlsbad rouladen is one delicious hearty homestyle dish stop by and let us know how you like it getdtl ldnont chaucers marienbad
416,Really sad to hear about terror attack on pilgrims. Condolences with victims family #NotInMyName,3,14,14,5.93,96,0,1,0,4,2,sad,really sad to hear about terror attack on pilgrims condolences with victims family notinmyname
417,@user @user This is what happens when blinded by raging hatred,0,11,10,4.73,62,0,0,1,5,2,,  this is what happens when blinded by raging hatred
418,Why so sensitive?! Did someone put you in your place???? #awe #shutthefuckup,0,12,12,5.42,76,0,1,0,6,8,sensitive,why so sensitive did someone put you in your place awe shutthefuckup
419,The optimist sees opportunity in every #barbecue; the pessimist sees barbecue in every opportunity.,2,14,11,6.14,99,0,1,0,4,3,,the optimist sees opportunity in every barbecue the pessimist sees barbecue in every opportunity
420,#funny #quote #joke Hilarious joke quote of the day! For more funny jokes pics and great humor quote,1,18,17,4.61,100,0,1,0,5,4,funny quote funny great,funny quote joke hilarious joke quote of the day for more funny jokes pics and great humor quote
421,@user Happy to help :) If there is anything we can do for you please don't hesitate to ask. - Thanks - James K,1,24,22,3.62,110,0,0,1,12,7,, happy to help  if there is anything we can do for you please dont hesitate to ask  thanks  james k
422,@user @user Ugh! Not those vile men again. 😱,0,9,8,4.0,44,0,0,1,2,4,,  ugh not those vile men again 😱
423,The excitement I get when I see tipping point is on tv is rather sad,3,15,13,3.6,68,0,0,0,8,0,sad,the excitement i get when i see tipping point is on tv is rather sad
424,Every time I fart my dog jumps in fear hahahaha yass,1,11,11,3.82,52,0,0,0,3,0,,every time i fart my dog jumps in fear hahahaha yass
425,Fuck @user  Let us go for #splendid isolation !,0,9,9,4.22,47,0,1,1,1,3,splendid,fuck   let us go for splendid isolation 
426,"@user trembled, the #earth quaked, and it became a very great #panic. [2/2]",3,13,13,4.85,75,0,1,1,5,9,great, trembled the earth quaked and it became a very great panic 
427,Looking for a Lyft ride? $50 free w/ Lyft Code: CLEO # MK #mirthful #LOVETOSAVEMONEY,1,15,14,4.67,84,0,1,0,2,7,free mirthful,looking for a lyft ride  free w lyft code cleo  mk mirthful lovetosavemoney
428,"You still have hope Of being lonely, apart, not having a baby. #dismal",3,13,13,4.46,70,0,1,0,7,4,dismal,you still have hope of being lonely apart not having a baby dismal
429,@user @user Ugh..hate Manarino got this game 😦,0,8,7,4.88,46,0,0,1,1,4,,  ughhate manarino got this game 😦
430,@user Whats more sad are the adults who continue to do it afterwards,3,13,13,4.31,68,0,0,1,7,1,sad, whats more sad are the adults who continue to do it afterwards
431,#dull start,3,2,2,5.0,11,0,1,0,0,1,dull,dull start
432,Accidentally looked directly into the solar eclipse. Didn't die. Didn't get superpowers either. #disappointing #SolarEclispe2017,3,15,14,7.6,128,0,1,0,5,7,solar disappointing,accidentally looked directly into the solar eclipse didnt die didnt get superpowers either disappointing solareclispe
433,@user @user This is such a pleasing color palette!,1,9,8,4.67,50,0,0,1,4,3,such,  this is such a pleasing color palette
434,"The good thing about being a pessimist is that when I have low expectations all the time, I am pleasantly surprised more often. #pessimist",3,24,23,4.79,138,0,1,0,14,3,good low,the good thing about being a pessimist is that when i have low expectations all the time i am pleasantly surprised more often pessimist
435,You grieve for those who should not be grieved for;\n#KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,3,11,11,8.27,101,0,1,0,7,2,,you grieve for those who should not be grieved fornkissableslovesmshopmagnalloutdenimfor kissmarc
436,@user U make my heart flutter,1,6,6,4.0,29,0,0,1,1,1,, u make my heart flutter
437,I get so heated when I see people go to Thailand and post pictures at places I KNOW animals are exploited and abused. #fuming 🙃,0,25,22,4.12,127,0,1,0,11,2,heated,i get so heated when i see people go to thailand and post pictures at places i know animals are exploited and abused fuming 🙃
438,"One hour great, next hour, bullshit! Welcome to Goodyear! #😠",0,10,10,5.1,60,0,1,0,1,5,great next,one hour great next hour bullshit welcome to goodyear 😠
439,"@user #PrimeDay , free slurpee day at 7-11's,  national chicken day, i got some multitasking to do and squeeze in my dr. Appt 😧",1,24,24,4.29,127,0,1,1,8,8,free national, primeday  free slurpee day at s  national chicken day i got some multitasking to do and squeeze in my dr appt 😧
440,@user #awesome news for the blues,1,6,6,4.67,33,0,1,1,2,2,awesome, awesome news for the blues
441,"my dog is a dick. started crying. got on the floor to see wuts up, rite? lil bitch start biting the shit out of me",0,25,24,3.6,114,0,0,0,10,4,lil,my dog is a dick started crying got on the floor to see wuts up rite lil bitch start biting the shit out of me
442,It's #AmazonPrimeDay! And I'm #broke. So in reality it just another day for me #depressing,3,15,15,5.07,90,0,1,0,9,7,,its amazonprimeday and im broke so in reality it just another day for me depressing
443,@user he knows wonwoo can't hold any longer when his fingers trembling uncontrollably :( so sol gives his mask for wonwoo and,3,22,20,4.73,125,0,0,1,9,4,sol, he knows wonwoo cant hold any longer when his fingers trembling uncontrollably  so sol gives his mask for wonwoo and
444,"@user Network bandwidth died after 9gb offer reedemed, damaging loyal customer relations  #improve",0,13,13,6.54,98,0,1,1,1,3,loyal, network bandwidth died after gb offer reedemed damaging loyal customer relations  improve
445,"We face elimination tonight, 6:15 @ Mahoney #RoadToMahoney #optimism",2,9,9,6.67,68,0,1,1,1,5,elimination,we face elimination tonight   mahoney roadtomahoney optimism
446,@user So horrifying. I feel such sadness for the families.,3,10,10,4.9,58,0,0,1,5,3,horrifying such, so horrifying i feel such sadness for the families
447,@user #TuesdayThoughts #horror damn it's tough to chose. But I will go to camp crystal lake but not as counselors😁,1,20,19,4.75,114,0,1,1,8,5,tough crystal, tuesdaythoughts horror damn its tough to chose but i will go to camp crystal lake but not as counselors😁
448,It bugs me that people concern themselves so much with what other people CHOOSE to do with their money 😂🙈,0,20,18,4.3,105,0,0,0,12,0,other,it bugs me that people concern themselves so much with what other people choose to do with their money 😂🙈
449,when will i ever be happy with myself?,3,8,8,3.88,38,0,0,0,5,1,happy,when will i ever be happy with myself
450,although I laugh and I act like a clown beneath this mask I am wearing a frown my tears are falling like rain from the sky,3,26,22,3.73,122,0,0,0,14,0,clown frown,although i laugh and i act like a clown beneath this mask i am wearing a frown my tears are falling like rain from the sky
451,Trying not to be annoyed but I keep getting told I'm on lists for things and then everyone's on the list except for me 😞,3,25,23,3.84,120,0,0,0,14,2,,trying not to be annoyed but i keep getting told im on lists for things and then everyones on the list except for me 😞
452,Up early. Kicking ass and taking names. #offense.,0,8,8,5.25,49,0,1,0,2,4,,up early kicking ass and taking names offense
453,If people tweeting about #loveisland we're as passionate about other topics the world would be a much better place! #dull,3,20,19,5.1,121,0,1,0,10,4,other,if people tweeting about loveisland were as passionate about other topics the world would be a much better place dull
454,@user I'm sorry for any disappointment Aaron. It could be worth asking to move seats if you aren't happy to sit by the exit ^BM,3,25,24,4.12,127,0,0,1,13,5,sorry disappointment worth happy, im sorry for any disappointment aaron it could be worth asking to move seats if you arent happy to sit by the exit bm
455,@user @user Don't worry Narendra Modi is not Manmohan Singh.,2,10,9,5.1,60,0,0,1,3,4,,  dont worry narendra modi is not manmohan singh
456,Damn I just walked up to the train station and I literally died,3,13,12,3.92,63,0,0,0,7,0,,damn i just walked up to the train station and i literally died
457,Hey @user you're going to go to jail one day.,0,10,9,3.6,45,0,0,1,3,3,,hey  youre going to go to jail one day
458,Too many of us are not living our #dreams because we are living our #fears.,2,15,12,4.07,75,0,1,0,9,3,many,too many of us are not living our dreams because we are living our fears
459,"Each of ye separate FALLEN; if we quickening his wrath upon us, will only cause our PAIN to be more unbearable in that PIT.",3,24,24,4.17,123,0,0,0,12,3,separate unbearable,each of ye separate fallen if we quickening his wrath upon us will only cause our pain to be more unbearable in that pit
460,Okay this girl On teen mom is screaming but she only 2 cm dilated 😭 when I was 2 cm I was just pissed bc she wouldn't give me water,0,30,25,3.4,131,0,0,0,15,1,teen,okay this girl on teen mom is screaming but she only  cm dilated 😭 when i was  cm i was just pissed bc she wouldnt give me water
461,10/10 do not recommend burning your scalp in the sun. my parting is glowing red and it burns 😂 where’s a cap when you need one?,0,26,26,3.92,127,0,0,0,12,3,red ’, do not recommend burning your scalp in the sun my parting is glowing red and it burns 😂 where’s a cap when you need one
462,@user Heeeeeey shilaaang 🙁,1,4,4,5.75,26,0,0,1,0,1,, heeeeeey shilaaang 🙁
463,@user Nashville Sound lyric book edition! #glee,1,7,7,5.86,47,0,1,1,0,3,lyric, nashville sound lyric book edition glee
464,I'm so upset 😭,3,4,4,2.75,14,0,0,0,2,1,upset,im so upset 😭
465,@user made your Chicken Tikka Masala w/ cauliflower &amp; peas tonight. So delicious didn't even get a chance to snap a pic! #delicious,1,23,22,4.91,135,0,1,1,7,8,delicious delicious, made your chicken tikka masala w cauliflower amp peas tonight so delicious didnt even get a chance to snap a pic delicious
466,All these boring stations with this side bully just being tough on someone sha\n... 😞😑😑😑,0,15,15,4.93,88,0,0,0,7,3,boring tough,all these boring stations with this side bully just being tough on someone shan 😞😑😑😑
467,"@user growl like a dog, see if she lifts herself off and gives you space?",0,15,15,3.93,73,0,0,1,8,3,, growl like a dog see if she lifts herself off and gives you space
468,"please, more comments from #tweeters that don't look at charts! #adorable $snap",1,12,12,5.67,79,0,1,0,5,6,adorable,please more comments from tweeters that dont look at charts adorable snap
469,@user &amp; @user THANK YOU for the retweets. Much #appreciated!!! #horror #monsters #MonsterBrawl @user,1,14,12,6.5,104,0,1,1,3,13,Much appreciated, amp  thank you for the retweets much appreciated horror monsters monsterbrawl 
470,@user I was fuming at this!!!,0,6,6,4.0,29,0,0,1,3,4,, i was fuming at this
471,ha 🙃 ha 🙃 i just realised that i've never actually been to therapy and i still don't know if i'm depressed or just sad all the time,3,28,24,3.71,131,0,0,0,15,3,i depressed,ha 🙃 ha 🙃 i just realised that ive never actually been to therapy and i still dont know if im depressed or just sad all the time
472,@user @user these kind of cops are the reason people hate cops &amp; cant trust anything,0,16,14,4.56,88,0,0,1,4,4,cant,  these kind of cops are the reason people hate cops amp cant trust anything
473,Cannot express my #hatred for @user they even screw me at work! 😠 this is 2nd time they cut our lines #idiots #worthless #needtobefined,0,24,23,4.67,135,0,1,1,10,6,worthless,cannot express my hatred for  they even screw me at work 😠 this is nd time they cut our lines idiots worthless needtobefined
474,@user Guts? 😂😂😂 go and sunk your face in sand,0,10,10,3.6,45,0,0,1,3,2,, guts 😂😂😂 go and sunk your face in sand
475,"If the blues were whiskey , I'd stay drunk all the time",3,12,11,3.67,55,0,0,0,6,2,whiskey,if the blues were whiskey  id stay drunk all the time
476,It's 6:30 in the morning and I'm dry ass up 😂,3,11,11,3.18,45,0,0,0,6,3,dry,its  in the morning and im dry ass up 😂
477,@user I remember when Ron Reagan said tear down that wall.  Trump is so afraid of 'others' he obviously doesn't feel safe.,0,22,22,4.55,122,0,0,1,9,6,tear afraid safe, i remember when ron reagan said tear down that wall  trump is so afraid of others he obviously doesnt feel safe
478,@user I woke up in dread too. #2017,3,8,8,3.5,35,0,1,1,3,3,, i woke up in dread too 
479,"@user @user No empathetic and realistic, I know when enough is enough unlike the rabid GOSH bashing mob.",0,18,16,4.83,104,0,0,1,6,4,realistic enough enough,  no empathetic and realistic i know when enough is enough unlike the rabid gosh bashing mob
480,"@user Mr President. Hell hath no fury like a Democrap scorned! They offer no alternatives, just obstruct. That's all they have.",0,21,20,5.1,127,0,0,1,9,7,, mr president hell hath no fury like a democrap scorned they offer no alternatives just obstruct thats all they have
481,Love it when @user is laughing as hard at @user rif as I am! 😂 #crying 🤣🤣 #chateaubriand @user,1,19,16,4.0,94,0,1,1,7,6,😂 🤣🤣,love it when  is laughing as hard at  rif as i am 😂 crying 🤣🤣 chateaubriand 
482,@user Glad it went well 😄,1,6,6,3.33,25,0,0,1,1,1,😄, glad it went well 😄
483,#sadness #cry 💔 dad will never understand his 3rd child,3,10,10,4.6,55,0,1,0,1,2,sadness,sadness cry 💔 dad will never understand his rd child
484,@user @user I got the 'currently not available for online purchase.' #cry,3,12,11,5.17,73,0,1,1,4,6,available online,  i got the currently not available for online purchase cry
485,"The gravediggers looked #solemn. The groundhog blinked back tears. The crows fell silent.\nHey, what about ME!  crowed the rooster.\n#vss365",3,19,17,6.37,140,0,1,0,6,8,,the gravediggers looked solemn the groundhog blinked back tears the crows fell silentnhey what about me  crowed the roosternvss
486,idk if i should be angry or happy that a local &amp; trusted online shop i've been following since 2015 is already doing wanna one g/o's KJDSAHK,0,27,27,4.37,144,0,0,0,12,5,angry happy local,idk if i should be angry or happy that a local amp trusted online shop ive been following since  is already doing wanna one gos kjdsahk
487,McGregor is a clown 😂😂😂 #hilarious #MayweatherVsMcGregor,1,7,7,7.14,56,0,1,0,2,2,clown hilarious,mcgregor is a clown 😂😂😂 hilarious mayweathervsmcgregor
488,@user I'm enjoying this so much😂 they're hilarious. I've a headache from laughing... I need to stop now.,1,18,18,4.83,104,0,0,1,9,9,much😂 hilarious, im enjoying this so much😂 theyre hilarious ive a headache from laughing i need to stop now
489,@user hopefully you are always #smiling TY #appreciate ya,1,9,9,5.44,57,0,1,1,2,3,, hopefully you are always smiling ty appreciate ya
490,"@user Omg you're savage prof, this is hilarious 🤣🤣",1,9,9,4.67,50,0,0,1,3,3,savage hilarious, omg youre savage prof this is hilarious 🤣🤣
491,hey @user what happened to the strawberry and black current ones 🙁,3,12,12,4.58,66,0,0,1,4,1,black current,hey  what happened to the strawberry and black current ones 🙁
492,@user @user @user Still spreading the lies that Clinton allowed something like it was her sole decision. #sad,3,18,16,5.11,109,0,1,1,6,5,sole sad,   still spreading the lies that clinton allowed something like it was her sole decision sad
493,My innocent eyes 😭,3,4,4,3.75,18,0,0,0,1,0,innocent,my innocent eyes 😭
494,"We can complain because rose bushes have thorns, or rejoice because thorn bushes have roses. Abraham Lincoln #optimism #FLOW #nonresistance",2,20,17,6.0,139,0,1,0,7,5,thorn,we can complain because rose bushes have thorns or rejoice because thorn bushes have roses abraham lincoln optimism flow nonresistance
495,one tweet:‘Over the coming weeks we'll be continuing to threaten various bluetick  dipsh**s with imprisonment under a socialist government.’,0,19,19,6.37,140,0,0,0,7,5,coming various bluetick socialist,one tweet‘over the coming weeks well be continuing to threaten various bluetick  dipshs with imprisonment under a socialist government’
496,really wanna dye me hair a bright colour but iv spent all this time growing the dye out,2,18,17,3.89,87,0,0,0,7,0,wan bright iv,really wanna dye me hair a bright colour but iv spent all this time growing the dye out
497,Going over the #script for this weekend! Can't wait to start #filmming! #actorslife #ActressLife #actress  #horrorfilm #HorrorMovies,1,17,17,6.76,132,0,1,0,6,10,actorslife horrorfilm,going over the script for this weekend cant wait to start filmming actorslife actresslife actress  horrorfilm horrormovies
498,@user Because Ken is a rabid lefty extremist and propagandist.,0,10,10,5.3,62,0,0,1,4,2,rabid lefty, because ken is a rabid lefty extremist and propagandist
499,Who also miss glee ? #gleek #glee #GleeForever #DreamsComeTrue #dontstopbelieving #gleecast @user,3,12,12,7.17,97,0,1,1,2,8,gleek glee,who also miss glee  gleek glee gleeforever dreamscometrue dontstopbelieving gleecast 
500,i think i'll be sad from today until 357632477 years later....im not getting over this sadness,3,16,16,4.94,94,0,0,0,8,5,i i sad,i think ill be sad from today until  years laterim not getting over this sadness
501,@user Just ran out of data… #shiver,3,7,7,4.14,35,0,1,1,3,2,data…, just ran out of data… shiver
502,"@user the only enjoyment I have at the moment, that is how sad my life is",3,16,14,3.62,73,0,0,1,11,2,only sad, the only enjoyment i have at the moment that is how sad my life is
503,@user why on earth do you keep changing the channels? There is no logic to it and makes recording impossible!!!!  #frustrated #angry,0,22,22,5.0,132,0,1,1,11,8,impossible frustrated angry, why on earth do you keep changing the channels there is no logic to it and makes recording impossible  frustrated angry
504,"Let us not look back in anger or forward in fear, but around in awareness. – James Thurber",2,18,16,4.06,90,0,0,0,6,2,,let us not look back in anger or forward in fear but around in awareness – james thurber
505,"Before I even understood what was happening, I'd feel this pang of sadness whenever we parted 😥 #firstlove #bliss #books #lovehurts",3,21,21,5.29,131,0,1,0,8,6,😥 firstlove bliss,before i even understood what was happening id feel this pang of sadness whenever we parted 😥 firstlove bliss books lovehurts
506,"@user Its been 6months i am behind this issue, i will nit allow you guys to bully me around like this",0,21,19,3.86,101,0,0,1,11,2,, its been months i am behind this issue i will nit allow you guys to bully me around like this
507,"@user Looks like City fans are already blaming the ref for a shock defeat at Bournemouth, #amusing",1,17,17,4.82,98,0,1,1,6,3,, looks like city fans are already blaming the ref for a shock defeat at bournemouth amusing
508,@user Man u r just bitter about Manu making great strides...,0,11,11,4.55,60,0,0,1,3,4,u bitter great, man u r just bitter about manu making great strides
509,Do you know how terrible that stuff is for you?,0,10,10,3.8,47,0,0,0,6,1,terrible,do you know how terrible that stuff is for you
510,@user @user There might be a spec of hope at the end of this horrific tunnel,2,16,14,3.81,76,0,0,1,8,2,,  there might be a spec of hope at the end of this horrific tunnel
511,Goodevening 😆,1,2,2,6.0,13,0,0,0,0,0,,goodevening 😆
512,Chicken n stuffing going in the crockpot for din din. #getinmybelly,1,11,11,5.18,67,0,1,0,3,2,,chicken n stuffing going in the crockpot for din din getinmybelly
513,"The Majority is angry. Use of words like Kashmiriyat infuriate it further. Hope ministers, spokesmen weigh words ...",0,18,17,5.5,116,0,0,0,5,6,angry,the majority is angry use of words like kashmiriyat infuriate it further hope ministers spokesmen weigh words 
514,Today all India Bank strike? WTH. Was this announced? What's this strike for?,0,13,12,5.0,77,0,0,0,5,5,,today all india bank strike wth was this announced whats this strike for
515,@user Sorry to hear that Mark 😢,3,7,7,3.57,31,0,0,1,2,1,, sorry to hear that mark 😢
516,"Nice one #EE  so much for data protection, not impressed that you can talk to someone the opposite sex who guessed my password,",0,23,23,4.52,127,0,1,0,10,3,impressed opposite,nice one ee  so much for data protection not impressed that you can talk to someone the opposite sex who guessed my password
517,#Merkel has supported all #Israeli #terror initiatives opposing the #Palestinian bid for membership at the #UN.,3,16,15,6.0,111,0,1,0,6,6,Palestinian,merkel has supported all israeli terror initiatives opposing the palestinian bid for membership at the un
518,"@user No offense, but this post makes you look like an opinion disrespecter.",0,13,13,4.92,76,0,0,1,6,3,, no offense but this post makes you look like an opinion disrespecter
519,Have funny feeling this #mayweather #McGregor will become a trilogy. Why make 550 million? When you can make it 3x hmmm #suspicion ? 💵💰,1,24,23,4.67,135,0,1,0,8,6,funny hmmm,have funny feeling this mayweather mcgregor will become a trilogy why make  million when you can make it x hmmm suspicion  💵💰
520,just watch a revenge movie or write it down in a journal and let it all out,0,17,15,3.47,75,0,0,0,11,0,,just watch a revenge movie or write it down in a journal and let it all out
521,@user what a terrible company not had a working dishwasher now for 7-8 weeks awaiting 5 th engineer. I am disabled and need this !,0,25,24,4.24,130,0,0,1,10,4,terrible 7-8 th disabled, what a terrible company not had a working dishwasher now for  weeks awaiting  th engineer i am disabled and need this 
522,No legit though this is my first ever experience and it's when I don't wear makeup so was pretty ironic tbh #giggle but no ta pal,1,26,26,4.0,129,0,1,0,14,3,legit first ironic,no legit though this is my first ever experience and its when i dont wear makeup so was pretty ironic tbh giggle but no ta pal
523,@user Loves the rich!!! Fuck us 'working class folk' and our kids! #fuming #joke #scandalous #disgusting #altontowers  😡😡,0,18,18,5.72,121,0,1,1,3,12,rich scandalous, loves the rich fuck us working class folk and our kids fuming joke scandalous disgusting altontowers  😡😡
524,@user @user not deep. I'ts called depression and psycologists can help,3,11,10,5.45,70,0,0,1,3,4,,  not deep its called depression and psycologists can help
525,Defendant greets the bench with a cheery 'hello!'. He is late arriving at court because he was collecting his methadone script. #SwansMags,1,22,22,5.32,138,0,1,0,10,6,late,defendant greets the bench with a cheery hello he is late arriving at court because he was collecting his methadone script swansmags
526,We cannot let @user #bully any #indiedev into paying them for a 'faster lane'. Most indie devs don't have these funds. But @user does!,0,24,23,4.62,134,0,1,1,12,10,indie @,we cannot let  bully any indiedev into paying them for a faster lane most indie devs dont have these funds but  does
527,@user all of this!If the GOP continues to back this mob connected man you will have tremendous regret in 2018 the voters will make sure,0,25,23,4.44,135,0,0,1,9,2,tremendous sure, all of thisif the gop continues to back this mob connected man you will have tremendous regret in  the voters will make sure
528,@user Macron slips up and has a moment of clarity &amp; common sense...now he is a raging racist. Sounds right. #LiberalLogic,0,21,20,5.0,125,0,1,1,8,9,common right, macron slips up and has a moment of clarity amp common sensenow he is a raging racist sounds right liberallogic
529,"I had some weird dreams last night. First about dogs whose heads explode and roaches come out. Second, dark clouds and flying into space.",3,24,23,4.75,137,0,0,0,7,4,weird last Second dark,i had some weird dreams last night first about dogs whose heads explode and roaches come out second dark clouds and flying into space
530,Important read on the difference between #pleasure and #happiness and the relationship between #digitaltechnology #addiction &amp; #depression,1,17,14,7.41,142,0,1,0,7,7,,important read on the difference between pleasure and happiness and the relationship between digitaltechnology addiction amp depression
531,"@user 🤦🏻‍♀️  We were warned.  And now we basically only have the choice between Trump, Pence, Ryan, et al for POTUS 🤢",3,22,22,4.27,117,0,0,1,9,5,user, 🤦🏻‍♀️  we were warned  and now we basically only have the choice between trump pence ryan et al for potus 🤢
